params,true_negative,true_positive,false_positive,false_negative
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 8}",13,293,13,73
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 9}",14,294,12,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 10}",11,289,15,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 20}",10,259,16,107
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 50}",14,287,12,79
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 7}",12,302,14,64
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 8}",13,293,13,73
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 9}",14,294,12,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 10}",11,289,15,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 20}",10,259,16,107
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 50}",14,287,12,79
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 7}",9,303,17,63
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 8}",11,303,15,63
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 9}",13,282,13,84
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 10}",11,289,15,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 20}",10,259,16,107
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 50}",14,287,12,79
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 7}",9,285,17,81
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 8}",8,298,18,68
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 9}",8,295,18,71
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 10}",11,292,15,74
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 20}",10,259,16,107
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 50}",14,287,12,79
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 8, 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 7}",12,302,14,64
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 8}",13,293,13,73
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 9}",14,294,12,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 10}",11,289,15,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 20}",10,259,16,107
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 50}",14,287,12,79
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 7}",12,302,14,64
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 8}",13,293,13,73
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 9}",14,294,12,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 10}",11,289,15,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 20}",10,259,16,107
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 50}",14,287,12,79
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 7}",12,302,14,64
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 8}",13,293,13,73
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 9}",14,294,12,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 10}",11,289,15,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 20}",10,259,16,107
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 50}",14,287,12,79
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 7}",9,303,17,63
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 8}",11,303,15,63
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 9}",13,282,13,84
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 10}",11,289,15,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 20}",10,259,16,107
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 50}",14,287,12,79
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 7}",9,285,17,81
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 8}",8,298,18,68
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 9}",8,295,18,71
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 10}",11,292,15,74
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 20}",10,259,16,107
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 50}",14,287,12,79
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 7}",8,300,18,66
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 8}",14,305,12,61
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 9}",10,303,16,63
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 10}",11,309,15,57
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 20}",11,298,15,68
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 50}",17,255,9,111
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 7}",8,300,18,66
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 8}",14,305,12,61
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9}",10,303,16,63
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 10}",11,309,15,57
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 20}",11,298,15,68
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 50}",17,255,9,111
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 7}",8,300,18,66
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 8}",14,305,12,61
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 9}",10,303,16,63
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 10}",11,309,15,57
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 20}",11,298,15,68
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 50}",17,255,9,111
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 7}",13,316,13,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 8}",8,326,18,40
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 9}",11,309,15,57
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 10}",11,309,15,57
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 20}",11,298,15,68
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 50}",17,255,9,111
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 7}",10,305,16,61
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 8}",10,304,16,62
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 9}",10,308,16,58
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 10}",10,308,16,58
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 20}",11,298,15,68
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 50}",17,255,9,111
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 7}",13,282,13,84
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 8}",13,293,13,73
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 9}",14,294,12,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 10}",11,289,15,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 20}",10,259,16,107
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 50}",14,287,12,79
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 7}",13,282,13,84
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 8}",13,293,13,73
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 9}",14,294,12,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 10}",11,289,15,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 20}",10,259,16,107
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 50}",14,287,12,79
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 7}",13,282,13,84
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 8}",13,293,13,73
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 9}",14,294,12,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 10}",11,289,15,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 20}",10,259,16,107
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 50}",14,287,12,79
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 7}",9,303,17,63
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 8}",11,303,15,63
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 9}",13,282,13,84
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 10}",11,289,15,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 20}",10,259,16,107
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 50}",14,287,12,79
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 7}",9,285,17,81
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 8}",8,298,18,68
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 9}",8,295,18,71
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 10}",11,292,15,74
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 20}",10,259,16,107
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 50}",14,287,12,79
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 7}",12,302,14,64
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 8}",13,293,13,73
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 9}",14,294,12,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 10}",11,289,15,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 20}",10,259,16,107
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 50}",14,287,12,79
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 100}",15,289,11,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 200}",14,316,12,50
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 7}",12,302,14,64
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 8}",13,293,13,73
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 9}",14,294,12,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 10}",11,289,15,77
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 9, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 20}",10,259,16,107
